Person,Text,Predicted Category,Predicted Quality,Predicted Sentiment,Predicted Thank Customer,Predicted Introduce Self,Predicted Ask Reason,Predicted Ask Accurate Details,Predicted Ask Permission,Predicted Resolve Issue,Predicted Offer Assistance,Predicted Thank Again,Predicted Farewell
A,Thank you for calling Triple-A bank.,Problem Investigation,Positive,0.67,2,0,0,0,0,0,0,0,0
A,My name is Arianna.,Greetings,Positive,0.83,0,0,1,0,0,0,0,0,0
A,May I have your name?,Account Verification,Positive,0.84,1,0,0,0,1,1,0,0,0
C,James breed; ,Account Verification,Positive,0.79,1,0,0,0,0,0,0,0,0
A,Oh hello Mr. Breed.,Greetings,Positive,0.8,0,0,0,0,0,0,0,0,0
A,How can I make you smile today?,Problem Investigation,Positive,0.83,0,0,0,1,0,0,0,0,0
C,Why do I have fees on my bank account? ,Problem Investigation,Negative,0.16,2,0,0,0,0,0,0,0,0
C,I want those removed. ,Problem Investigation,Negative,0.18,2,0,0,0,0,0,0,0,0
C,Very ridiculous.,Problem Investigation,Neutral,0.41,2,0,0,0,0,0,0,0,0
C,I can't even afford them.,Problem Investigation,Negative,0.17,2,0,0,0,0,0,0,0,0
A,Oh. I understand that fees are really costly. ,Problem Investigation,Negative,0.52,2,0,0,0,0,0,0,0,0
A,Let me check your account to see what really happened.,Problem Investigation,Positive,0.57,2,0,0,0,0,0,0,0,0
C,Ok and remove the fees,Problem Investigation,Neutral,0.48,2,0,0,0,0,0,0,0,0
A,I'll see what I can do Mr. Breed. ,Problem Investigation,Neutral,0.64,2,0,0,0,0,0,0,0,0
A,As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.,Problem Investigation,Neutral,0.7,2,0,0,0,0,0,0,0,0
C,What do you mean you can't do anything? ,Problem Investigation,Neutral,0.35,2,0,0,0,0,0,0,0,0
C,You are supposed to help me.,Problem Investigation,Neutral,0.3,2,0,0,0,0,0,0,0,0
C,Can you at least try to remove the fees?,Problem Investigation,Neutral,0.47,2,0,0,0,0,0,0,0,0
A,"No, no sir. ",Problem Investigation,Neutral,0.59,2,0,0,0,0,0,0,0,0
A,I can't do that because you did not make a payment.,Problem Investigation,Negative,0.22,2,0,0,0,0,0,0,0,0
C,If you just look at my account I made a payment but it was just a few hours late.,Problem Investigation,Negative,0.53,2,0,0,0,0,0,0,0,0
C,Can you at least consider? ,Problem Investigation,Neutral,0.56,2,0,0,0,0,0,0,0,0
C,I had to look for funds just to make a payment but I did my best to pay on my due date.,Problem Investigation,Negative,0.31,2,0,0,0,0,0,0,0,0
C,I was just late for the cutoff.,Problem Investigation,Negative,0.56,2,0,0,0,0,0,0,0,0
C,Can you please just remove at least one fee?,Problem Investigation,Neutral,0.38,2,0,0,0,0,1,0,0,0
A,"As much as I'd love to help you Mr. Breed, my hands are tied right now.",Problem Investigation,Positive,0.53,2,0,0,0,0,0,0,0,0
A,There's nothing I can do.,Problem Investigation,Negative,0.31,2,0,0,0,0,0,0,0,0
A,I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.,Problem Investigation,Negative,0.64,2,0,0,0,0,0,0,0,0
A,I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.,Problem Investigation,Positive,0.54,2,0,0,0,0,0,0,0,0
A,I already know that. ,Problem Investigation,Positive,0.45,2,0,0,0,0,0,0,0,0
C,You already explained that.,Problem Investigation,Positive,0.68,2,0,0,0,0,0,0,0,0
C,You keep telling me the same thing but you're not doing anything.,Problem Investigation,Negative,0.26,2,0,0,0,0,0,0,0,0
C,I will make sure to call back and speak to your supervisor. ,Problem Investigation,Positive,0.75,2,0,0,0,0,0,0,0,0
C,You are not helping me at all even though I've been a customer for five years!,Problem Investigation,Negative,0.23,2,0,0,0,0,0,0,0,0
C,Terrible service!,Problem Investigation,Neutral,0.35,2,0,0,0,0,0,0,0,0
A,I'm really really really sorry sir.,Problem Investigation,Positive,0.77,2,0,0,0,0,0,0,0,0
C,No. You are not sorry.,Problem Investigation,Positive,0.49,3,0,0,0,0,0,0,0,0
