Person,Category,Quality,Text
A,Greetings,Positive,Thank you for calling Triple-A bank.
A,Greetings,Positive,My name is Arianna.
A,Greetings,Positive,May I have your name?
C,,,James breed; 
A,Greetings,Positive,Oh hello Mr. Breed.
A,Greetings,,How can I make you smile today?
C,,,Why do I have fees on my bank account? 
C,,,I want those removed. 
C,,,Very ridiculous.
C,,,I can't even afford them.
A,Engagement,Positive,Oh. I understand that fees are really costly. 
A,Problem Investigation,Positive,Let me check your account to see what really happened.
C,,,Ok and remove the fees
A,Problem Investigation,Positive,I'll see what I can do Mr. Breed. 
A,Problem Investigation,Positive,As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.
C,,,What do you mean you can't do anything? 
C,,,You are supposed to help me.
C,,,Can you at least try to remove the fees?
A,Problem Resolution,Negative,"No, no sir. "
A,Problem Resolution,Negative,I can't do that because you did not make a payment.
C,,,"If you just look at my account I made a payment but it was just a few hours late."
C,,,Can you at least consider? 
C,,,I had to look for funds just to make a payment but I did my best to pay on my due date.
C,,,I was just late for the cutoff.
C,,,Can you please just remove at least one fee?
A,Problem Resolution,Positive,"As much as I'd love to help you Mr. Breed, my hands are tied right now."
A,Problem Resolution,Positive,There's nothing I can do.
A,Problem Resolution,Positive,I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.
A,Problem Resolution,Positive,I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.
A,,,I already know that. 
C,,,You already explained that.
C,,,You keep telling me the same thing but you're not doing anything.
C,,,I will make sure to call back and speak to your supervisor. 
C,,,You are not helping me at all even though I've been a customer for five years!
C,,,Terrible service!
A,Engagement,Positive,I'm really really really sorry sir.
C,,,No. You are not sorry.
A,Greetings,Positive,Thank you for calling Triple-A bank.
A,Greetings,Positive,My name is Maria.
A,Greetings,Positive,May I have your name?
C,,,James breed; 
A,Greetings,Positive,Oh hello Mr. Breed.
A,Greetings,Positive,How can I make you smile today?
C,,,Why do I have fees on my bank account?
C,,,I want those removed.
C,,, Very ridiculous.
C,,,I can't even afford them.
A,Engagement,Positive,Oh. I understand that fees are really costly.
A,Problem Investigation,Positive,Let me check your account to see what really happened.
C,,,Ok.
C,,,And remove the fees.
A,,,I'll see what I can do Mr. Breed.
A,Problem Investigation,Positive,"As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m."
C,,,I made a payment.
C,,,I did my best to look for funds so I could pay on my due date.
C,,,It's just that it was done after 4 p.m.
A,Engagement,Positive,I truly understand what you're going through Mr. Breed.
A,Problem Resolution,Positive,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed."
C,,,Like I said I really did my best. Can you please remove even just one fee?
C,,,I really can't afford it.
C,,,Maybe you can make a consideration?
C,,,Please. Besides I made a payment on the due date itself.
A,Problem Resolution,Positive,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed."
A,Problem Resolution,Positive,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded."
C,,,Okay I understand that it's worth trying though.
C,,,Thank you for doing that.
A,Engagement,Positive,You're welcome Mr. Breed.
A,Closure,Positive,I have already submitted a request and you will receive an email or text message after three days for the decision.
C,,,Thanks for trying.
A,Greetings,Positive,Thank you for calling Shapes Reward.
A,Greetings,Positive,My name is Mathilda.
A,Greetings,Positive,Can I have your name please?
C,,,This is ELISA Collins
A,Greetings,Positive,Hi Miss Collins.
A,Greetings,Positive,How can I be of service?
C,,,I wanted to pay my bills using my rewards points but I can't log into your website.
C,,,What's happening?
A,Engagement,Positive,Oh I'm so sorry for the inconvenience for the website.
A,Problem Investigation,Positive,May I know what error message you got?
C,,,Error message?
C,,,Where do I get that error message?
A,Problem Investigation,Positive,You mentioned you were trying to log in.
A,Problem Investigation,Positive,"When you logged into shapes rewards website, can you please tell me what happened after?"
C,,,"Oh I just entered my username and my password and then when I clicked log in, the computer the screen."
C,,,"What I'm seeing, it's the same."
C,,,It's loading and then it goes back to the login page so I can't get in and I need to use my rewards because I've saved them for so long now.
A,Engagement,Positive,I understand Miss Collins.
A,Problem Investigation,Positive,Alright this what actually happened.
A,Problem Investigation,Positive,When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.
C,,,But what looping?
C,,,Is your website down?
A,NA,,Our website is actually up and running.
A,Problem Investigation,Positive,"However, your browser has an issue."
A,Problem Investigation,Positive,Looping is when the browser page goes back to the same page again and again even though you've already taken action.
A,Problem Investigation,Positive,"Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?"
A,Problem Investigation,Positive,It just keeps going back to the login page but don't worry you've got the right person on the line to help you.
A,Problem Investigation,Positive,We just need to do quick troubleshooting on your browser.
C,,,Okay.
A,NA,,Great!
A,Problem Investigation,Positive,Are you using Mac or PC?
C,,,Windows.
A,NA,,Ok Windows PC is good.
A,Problem Investigation,Positive,May I know what browser you're using?
C,,,I'm not really sure.;
A,Problem Investigation,Positive,Is it Google Chrome or Firefox?
C,,,Oh it's Chrome.
A,NA,,"Oh ok, that's great."
A,Problem Investigation,Positive,May I know the chrome version?
C,,,I am really sorry honey but I don't have any idea.
C,,,My granddaughter just gifted me this computer last Christmas and she's not here right now.
A,NA,,Oh that's ok Miss Collins.
A,Problem Resolution,Positive,I'll just give you instructions and we'll get through this.
C,,,Thank you honey.
C,,,So you said version?
A,Problem Resolution,Positive,"Yes, can you please close the Chrome browser and open it again after?"
C,,,"Yes, done."
A,NA,,That's good. 
A,Problem Resolution,Positive,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?"
C,,,Yes
A,Problem Resolution,Positive,Please click that and you will see a drop-down box.
A,Problem Resolution,Positive,Then look for the word help or about Google Chrome.
C,,,I do see help that about Google Chrome.
C,,,I clicked it.
C,,,Oh it's version 68 and a couple random numbers.
A,Engagement,Positive,Wow thank you.
A,Problem Resolution,Positive,Looks like you have the most updated browser versions so far.
A,Problem Resolution,Positive,"So, the next thing, we will do is clear cache from your browser."
A,Problem Resolution,Positive,This will not affect your stored files or anything on your computer.
A,Problem Resolution,Positive,It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.
C,,,Oh this is all so new to me.
C,,,But you don't have to worry because once you do this once it's easier to do this again next time if it happens again.
A,Problem Resolution,Positive,So just click those three dots that you clicked earlier and look for more tools.
A,Problem Resolution,Positive,Did you see it?
C,,,Ok.
A,Problem Resolution,Positive,Then you will see clear browsing data.
C,,,Okay I see basic and advanced.
