Person,Text,Predicted Category,Predicted Quality,Predicted Sentiment
A,"Hello, Thank you for calling Best Buy.",Greetings,Positive,0.85
A,My name is Paul.,Greetings,Positive,0.82
A,How can I help you today?,Greetings,Positive,0.78
C,"Hi, My name is John.",Greetings,Positive,0.86
C,I am having problems with my computer.,Problem Investigation,Negative,0.24
A,I am sorry to hear that.,Problem Investigation,Positive,0.74
A,What kind of problems are you having?,Problem Investigation,Neutral,0.59
C,It won't boot up.,Problem Investigation,Neutral,0.26
C,"It will power on, but then I get an error.",Problem Investigation,Neutral,0.49
A,Can you tell me what the error said?,Problem Investigation,Neutral,0.38
C,It said there is no operating system.,Problem Investigation,Neutral,0.43
C,I see.,Problem Investigation,Neutral,0.45
A,It seems your computer did not come preconfigured with Windows.,Problem Investigation,Neutral,0.56
A,"Before we go further, can we verify your account details?",Account Verification,Neutral,0.72
C,Sure,Problem Investigation,Neutral,0.44
A,Can you please tell me your account ID?,Account Verification,Neutral,0.67
C,"Yes, my account ID is 30493943",Account Verification,Positive,0.78
A,Thank you sir.,Problem Investigation,Positive,0.79
A,And can you confirm your date of birth?,Account Verification,Neutral,0.67
C,"It's April 13, 1988.",Account Verification,Neutral,0.66
C,Thank you again sir.  ,Problem Investigation,Positive,0.82
A,I see you purchased the Asus laptop September 1st.,Problem Investigation,Positive,0.77
A,This laptop model should have come with windows pre installed,Problem Investigation,Positive,0.81
A,Would you be able to come in today for us to install it for you?,Problem Investigation,Positive,0.82
C,"Yes, I can come in today",Problem Investigation,Positive,0.82
A,Would 3 PM be fine?,Problem Investigation,Positive,0.84
C,I will see you at 3,Problem Investigation,Positive,0.76
A,Have I resolved all your issues?,Closure,Positive,0.84
C,"Yes, thank you",Closure,Positive,0.82
A,You have a wonderful day sir,Closure,Positive,0.83
A,goodbye,Closure,Positive,0.84
C,Bye,Closure,Neutral,0.79
