Start Time,End Time,Speaker,Text
0.00,4.00,SPEAKER_01, Thank you for calling Martha's Flors to help me assist you.
4.00,8.00,SPEAKER_00," Hello, I'd like to order flowers and I think you have what I'm looking for."
8.00,11.00,SPEAKER_01," I'd be happy to take care of your order may have your name, please."
11.00,12.00,SPEAKER_00, Randall Thomas.
12.00,15.00,SPEAKER_01," Randall Thomas, can you spell that from me?"
15.00,18.00,SPEAKER_00, Randall on a N-B-A-L-L.
18.00,21.00,SPEAKER_00, Robert T-H-O-M-A.
21.00,24.00,SPEAKER_01," Thank you for that information, Randall."
24.00,27.00,SPEAKER_01, May have your home or office number area code first.
27.00,34.00,SPEAKER_00," Eric good 409, then 586-5088."
34.00,38.00,SPEAKER_01, That's 409-866-5088.
38.00,41.00,SPEAKER_01, Do you have the fax number or email address?
41.00,45.00,SPEAKER_00, Email is Randall.nawder.net.
45.00,47.00,SPEAKER_00, Randall.thomas.gmail.com.
47.00,52.00,SPEAKER_01, Randall.thomas.gmail.com. May have your shipping address.
52.00,53.00,SPEAKER_00, 6800.
53.00,54.00,SPEAKER_01, Okay.
54.00,56.00,SPEAKER_00, Badness Avenue.
56.00,58.00,SPEAKER_00, Home on Texas.
58.00,61.00,SPEAKER_00, Lift code 877-06.
61.00,66.00,SPEAKER_01," Glad is Avenue, Beaumont, Texas, Zicode 707-06."
66.00,68.00,SPEAKER_01, Thank you for the information.
68.00,71.00,SPEAKER_01, What products are you interested in purchasing?
71.00,72.00,SPEAKER_00, Red roses.
72.00,73.00,SPEAKER_00, Probably a dozen.
73.00,76.00,SPEAKER_01, One dozen of red roses do you want long stems?
76.00,77.00,SPEAKER_01, They're sure.
77.00,80.00,SPEAKER_01," All right, Randall, let me process your order."
80.00,83.00,SPEAKER_01," One moment, please."
83.00,85.00,, Okay.
85.00,94.00,SPEAKER_01," Randall, you're ordering one dozen long-stent red roses to toll them out of your order's 40 dollars, and it will be shipped to your address within 24 hours."
94.00,97.00,SPEAKER_00, I was looking to deliver my roses again.
97.00,99.00,SPEAKER_01, We're in 24 hours.
99.00,100.00,SPEAKER_00," Okay, no problem."
100.00,102.00,SPEAKER_01, Is there anything else I can help you with?
102.00,104.00,SPEAKER_00," That's all for now, thing."
104.00,105.00,SPEAKER_01," No problem, Randall."
105.00,107.00,SPEAKER_01, Thank you for calling Martha's Flourist.
107.00,108.00,SPEAKER_01, Have a nice day.
110.00,113.00,, Thank you.
