Person,Text,Category Truth,Quality Truth,Sentiment Truth,Predicted Category,Predicted Quality,Predicted Sentiment,,,,,,,,,
A,"Hello, Thank you for calling Best Buy.",Greetings,Positive,0.9,Greetings,Positive,0.85,1,1,1,,,,,,0.05
A,My name is Paul.,Greetings,Positive,0.8,Greetings,Positive,0.82,1,1,1,,,,,,0.02
A,How can I help you today?,Greetings,Positive,0.8,Greetings,Positive,0.78,1,1,1,,,,,,0.04
C,"Hi, My name is John.",Greetings,Positive,0.8,Greetings,Positive,0.86,1,1,1,,,,,,0.02
C,I am having problems with my computer.,Problem Investigation,Negative,0.3,Problem Investigation,Negative,0.24,1,1,1,,,,,,0.03
A,I am sorry to hear that.,Problem Investigation,Neutral,0.7,Problem Investigation,Positive,0.74,1,1,1,,,,,,0.02
A,What kind of problems are you having?,Problem Investigation,Neutral,0.6,Problem Investigation,Neutral,0.59,1,1,1,,,,,,0.13
C,It won't boot up.,Problem Investigation,Negative,0.3,Problem Investigation,Neutral,0.26,1,1,1,,,,,,0.01
C,"It will power on, but then I get an error.",Problem Investigation,Neutral,0.5,Problem Investigation,Neutral,0.49,1,1,1,,,,,,0.12
A,Can you tell me what the error said?,Problem Investigation,Neutral,0.6,Problem Investigation,Neutral,0.38,0,0,0,,,,,,0.17
C,It said there is no operating system.,Problem Investigation,Neutral,0.5,Problem Investigation,Neutral,0.43,1,1,1,,,,,,0.1
C,I see.,Problem Investigation,Neutral,0.5,Problem Investigation,Neutral,0.45,1,1,1,,,,,,0.16
A,It seems your computer did not come preconfigured with Windows.,Problem Investigation,Neutral,0.7,Problem Investigation,Neutral,0.56,0,1,1,,,,,,0.26
A,"Before we go further, can we verify your account details?",Account Verification,Neutral,0.7,Account Verification,Neutral,0.72,1,1,1,,,,,,0.1
C,Sure,Problem Investigation,Neutral,0.7,Problem Investigation,Neutral,0.44,0,0,0,,,,,,0.12
A,Can you please tell me your account ID?,Account Verification,Positive,0.8,Account Verification,Neutral,0.67,0,1,1,,,,,,0.03
C,"Yes, my account ID is 30493943",Account Verification,Positive,0.8,Account Verification,Positive,0.78,1,1,1,,,,,,0.03
A,Thank you sir.,Account Verification,Positive,0.8,Problem Investigation,Positive,0.79,1,1,1,,,,,,0.19
A,And can you confirm your date of birth?,Account Verification,Neutral,0.7,Account Verification,Neutral,0.67,1,1,1,,,,,,0.05
C,"It's April 13, 1988.",Account Verification,Neutral,0.7,Account Verification,Neutral,0.66,1,1,1,,,,,,0.25
C,Thank you again sir.  ,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.82,1,1,1,,,,,,0.08
A,I see you purchased the Asus laptop September 1st.,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.77,1,1,1,,,,,,0.02
A,This laptop model should have come with windows pre installed,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.81,1,1,1,,,,,,0.01
A,Would you be able to come in today for us to install it for you?,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.82,1,1,1,,,,,,0.08
C,"Yes, I can come in today",Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.82,1,1,1,,,,,,0.12
A,Would 3 PM be fine?,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.84,1,1,1,,,,,,0.01
C,I will see you at 3,Problem Investigation,Positive,0.8,Problem Investigation,Positive,0.76,1,1,1,,,,,,0.06
A,Have I resolved all your issues?,Closure,Positive,0.9,Closure,Positive,0.84,1,1,1,,,,,,0.1
C,"Yes, thank you",Closure,Positive,0.9,Closure,Positive,0.82,1,1,1,,,,,,0.04
A,You have a wonderful day sir,Closure,Positive,0.9,Closure,Positive,0.83,1,1,1,,,,,,0.13
A,goodbye,Closure,Positive,0.8,Closure,Positive,0.84,1,1,1,,,,,,0.04
C,Bye,Closure,Neutral,0.7,Closure,Neutral,0.79,1,1,1,,,,,,0.08
A,"Hi, this is Michelle from Comcast.",Greetings,Positive,0.8,Greetings,Positive,0.87,1,1,1,,,,,,0.05
A,How may I help you today?,Problem Investigation,Positive,0.8,Greetings,Positive,0.77,1,1,1,,,,,,0.02
C,"Hello, my name is Tom.",Greetings,Positive,0.7,Greetings,Positive,0.84,0,1,1,,,,,,0.13
